sample,FB,HFA,QI
BW,-3.1375,8.385,6.59583
BW,-1.5875,19.785,-6.17083
BW,-1.75,13.58,-8.3
BW,-2.5875,-5.755,-9.15417
BW,-2.9625,-6.905,-15.8625
PP,-2.8125,10.635,-10.57917
PP,-1.04583,9.435,-6.8625
PP,-0.1625,6.955,-6.2625
PP,0.92917,5.645,-5.77083
PP,1.625,5.27,-3.425
RM,6.82083,-7.665,-24.9125
RM,3.4125,-1.715,-22.27083
RM,2.04167,0.43,-22.34167
RM,2.61667,0.62,-21.33333
RM,3.29583,1.245,-19.37083
TA,-3.37083,10.685,30.02917
TA,-6,11.86,32.46667
TA,-5.50417,-7.195,32.02917
TA,-7.3,-3.88,31.48333
TA,-5.525,-3.23,31.425
TP,3.15833,4.81,19.875
TP,4.27083,3.935,22.32083
TP,3.85833,-3.67,23.24167
TP,4.2375,-1.005,21.97083
TP,1.0625,2.245,22.4625
WP,-0.65833,3.11,-21.00833
WP,0.95,4.66,-19.48333
WP,1.51667,3.58,-18.36667
WP,2.10417,2.895,-17.19583
WP,2.50417,1.495,-15.22917
