litter,soil,littersoil,cc,group
BW,BW,BW BW,91.4,home
BW,BW,BW BW,97.2,home
BW,BW,BW BW,45.7,home
BW,BW,BW BW,57.6,home
BW,BW,BW BW,80.7,home
BW,TA,BW TA,61.2,away
BW,TA,BW TA,77.3,away
BW,TA,BW TA,50.5,away
BW,TA,BW TA,58.3,away
BW,TA,BW TA,49,away
BW,PP,BW PP,56.3,away
BW,PP,BW PP,66.6,away
BW,PP,BW PP,65.1,away
BW,PP,BW PP,68.4,away
BW,PP,BW PP,74.7,away
BW,RM,BW RM,109.7,away
BW,RM,BW RM,63.8,away
BW,RM,BW RM,68.6,away
BW,RM,BW RM,68.8,away
BW,RM,BW RM,74.3,away
BW,TP,BW TP,76.7,away
BW,TP,BW TP,106,away
BW,TP,BW TP,78.4,away
BW,TP,BW TP,86.4,away
BW,TP,BW TP,46.8,away
BW,WP,BW WP,64.9,away
BW,WP,BW WP,95.2,away
BW,WP,BW WP,77.3,away
BW,WP,BW WP,74,away
BW,WP,BW WP,71.4,away
PP,BW,PP BW,73.3,away
PP,BW,PP BW,70.6,away
PP,BW,PP BW,72.7,away
PP,BW,PP BW,65.8,away
PP,BW,PP BW,67.3,away
PP,TA,PP TA,68.2,away
PP,TA,PP TA,66.1,away
PP,TA,PP TA,67.2,away
PP,TA,PP TA,75,away
PP,TA,PP TA,67.1,away
PP,PP,PP PP,82.6,home
PP,PP,PP PP,74.9,home
PP,PP,PP PP,75.9,home
PP,PP,PP PP,80.9,home
PP,PP,PP PP,77.7,home
PP,RM,PP RM,76.2,away
PP,RM,PP RM,83.5,away
PP,RM,PP RM,70.8,away
PP,RM,PP RM,71.7,away
PP,RM,PP RM,80.3,away
PP,TP,PP TP,73.8,away
PP,TP,PP TP,71.7,away
PP,TP,PP TP,70.5,away
PP,TP,PP TP,72.5,away
PP,TP,PP TP,73.8,away
PP,WP,PP WP,68.6,away
PP,WP,PP WP,71.1,away
PP,WP,PP WP,68.2,away
PP,WP,PP WP,65.2,away
PP,WP,PP WP,67.9,away
RM,BW,RM BW,52.4,away
RM,BW,RM BW,56.7,away
RM,BW,RM BW,49.9,away
RM,BW,RM BW,55.8,away
RM,BW,RM BW,53.6,away
RM,TA,RM TA,51,away
RM,TA,RM TA,47.5,away
RM,TA,RM TA,53.5,away
RM,TA,RM TA,51.5,away
RM,TA,RM TA,54.7,away
RM,PP,RM PP,59.8,away
RM,PP,RM PP,55.7,away
RM,PP,RM PP,56.6,away
RM,PP,RM PP,68.4,away
RM,PP,RM PP,57.7,away
RM,RM,RM RM,59.6,home
RM,RM,RM RM,58.8,home
RM,RM,RM RM,57.3,home
RM,RM,RM RM,56.6,home
RM,RM,RM RM,57,home
RM,TP,RM TP,56.6,away
RM,TP,RM TP,53.2,away
RM,TP,RM TP,51.9,away
RM,TP,RM TP,55,away
RM,TP,RM TP,50.7,away
RM,WP,RM WP,59,away
RM,WP,RM WP,54.3,away
RM,WP,RM WP,56.1,away
RM,WP,RM WP,53.2,away
RM,WP,RM WP,58,away
TA,BW,TA BW,95.5,away
TA,BW,TA BW,109.6,away
TA,BW,TA BW,107,away
TA,BW,TA BW,114.4,away
TA,BW,TA BW,104.2,away
TA,TA,TA TA,96.5,home
TA,TA,TA TA,122.7,home
TA,TA,TA TA,95.4,home
TA,TA,TA TA,117.7,home
TA,TA,TA TA,96.3,home
TA,PP,TA PP,109.7,away
TA,PP,TA PP,108.9,away
TA,PP,TA PP,107.1,away
TA,PP,TA PP,104.8,away
TA,PP,TA PP,113.2,away
TA,RM,TA RM,115.5,away
TA,RM,TA RM,123.7,away
TA,RM,TA RM,110.1,away
TA,RM,TA RM,113,away
TA,RM,TA RM,120.2,away
TA,TP,TA TP,109.4,away
TA,TP,TA TP,109.8,away
TA,TP,TA TP,107.1,away
TA,TP,TA TP,112.4,away
TA,TP,TA TP,114.5,away
TA,WP,TA WP,102.3,away
TA,WP,TA WP,113.3,away
TA,WP,TA WP,106.5,away
TA,WP,TA WP,110.3,away
TA,WP,TA WP,114.5,away
TP,BW,TP BW,99.2,away
TP,BW,TP BW,93,away
TP,BW,TP BW,100,away
TP,BW,TP BW,92.9,away
TP,BW,TP BW,98.5,away
TP,TA,TP TA,99.2,away
TP,TA,TP TA,89.2,away
TP,TA,TP TA,113.6,away
TP,TA,TP TA,86.3,away
TP,TA,TP TA,98.6,away
TP,PP,TP PP,99.1,away
TP,PP,TP PP,100.1,away
TP,PP,TP PP,102.6,away
TP,PP,TP PP,98.7,away
TP,PP,TP PP,101.4,away
TP,RM,TP RM,102.1,away
TP,RM,TP RM,91.2,away
TP,RM,TP RM,97.8,away
TP,RM,TP RM,96.7,away
TP,RM,TP RM,100.5,away
TP,TP,TP TP,113.2,home
TP,TP,TP TP,109.9,home
TP,TP,TP TP,100.6,home
TP,TP,TP TP,97.2,home
TP,TP,TP TP,100.3,home
TP,WP,TP WP,104.7,away
TP,WP,TP WP,103.2,away
TP,WP,TP WP,103.1,away
TP,WP,TP WP,103.9,away
TP,WP,TP WP,99.3,away
WP,BW,WP BW,57.8,away
WP,BW,WP BW,55.7,away
WP,BW,WP BW,54.8,away
WP,BW,WP BW,60.1,away
WP,BW,WP BW,54.1,away
WP,TA,WP TA,59.3,away
WP,TA,WP TA,49.7,away
WP,TA,WP TA,49.2,away
WP,TA,WP TA,52.3,away
WP,TA,WP TA,50.7,away
WP,PP,WP PP,53.2,away
WP,PP,WP PP,58,away
WP,PP,WP PP,58,away
WP,PP,WP PP,64.4,away
WP,PP,WP PP,59.2,away
WP,RM,WP RM,60.1,away
WP,RM,WP RM,66.8,away
WP,RM,WP RM,60.9,away
WP,RM,WP RM,57.1,away
WP,RM,WP RM,59.9,away
WP,TP,WP TP,68,away
WP,TP,WP TP,71.8,away
WP,TP,WP TP,65,away
WP,TP,WP TP,68.3,away
WP,TP,WP TP,64.9,away
WP,WP,WP WP,60.2,home
WP,WP,WP WP,63.9,home
WP,WP,WP WP,66.8,home
WP,WP,WP WP,62.9,home
WP,WP,WP WP,65.5,home
